,uid,Competence,Benevolence,Integrity,Trusting Beliefs,Intention to Return,Perceived Transparency,1D Trust,MD Trust,MD Trust (RW),Unnamed: 0,UID,Wat is je leeftijd?,Wat is je geslacht?,In welk leerjaar zit je?,Hoeveel uur wiskunde krijg je per week?,"Hoe goed ben je, volgens jezelf, in wiskunde?","Hoe goed ben je, volgens jezelf, met het gebruik van computers?","Gebruikte je al eens een andere website om online oefeningen te maken? (bijvoorbeeld voor wiskunde, Nederlands ...)","Gebruik je websites waar producten/films/... worden aangeraden? (zoals Netflix, Amazon, Bol, ...)",Ik bezoek Wiski niet met Safari of Firefox.
0,1886,6.2,6.333333333333333,6.666666666666667,19.2,5.0,7,6,31.2,18.4,13,1886,16, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
1,1891,6.2,6.666666666666667,5.666666666666667,18.533333333333335,6.0,4,6,28.533333333333335,16.177777777777777,18,1891,15, Meisje, 6e middelbaar,5,4,3, Ja, Nee, Ja
2,1894,5.6,6.333333333333333,5.666666666666667,17.6,6.0,3,5,26.6,14.866666666666667,21,1894,15, Meisje, 4e middelbaar,5,3,4, Ja, Ja, Ja
3,1895,6.4,7.0,7.0,20.4,7.0,7,7,34.4,20.8,22,1895,15, Meisje, 4e middelbaar,5,4,2, Nee, Ja, Ja
4,1912,4.4,5.666666666666667,5.333333333333333,15.399999999999999,4.0,3,5,22.4,12.133333333333333,41,1912,16, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
5,1910,6.0,6.0,5.666666666666667,17.666666666666668,6.0,5,6,28.666666666666668,16.88888888888889,39,1910,16, Meisje, 4e middelbaar,5,3,4, Ja, Ja, Ja
6,1932,6.2,6.0,6.666666666666667,18.866666666666667,6.0,7,7,31.866666666666667,19.288888888888888,58,1932,15, Meisje, 4e middelbaar,5,3,3, Nee, Ja, Ja
7,1842,6.2,5.333333333333333,6.666666666666667,18.2,5.0,7,7,30.2,18.066666666666666,61,1842,16, Jongen, 5e middelbaar,6,4,5, Ja, Ja, Ja
8,1930,6.2,5.666666666666667,6.666666666666667,18.533333333333335,6.5,7,7,32.03333333333333,19.677777777777777,56,1930,17, Meisje, 5e middelbaar,6,4,3, Ja, Ja, Ja
9,1970,5.4,6.0,6.0,17.4,6.0,6,6,29.4,17.8,89,1970,18, Jongen, 6e middelbaar,2,3,4, Nee, Ja, Ja
10,1973,6.0,6.0,6.666666666666667,18.666666666666668,6.0,5,6,29.666666666666668,17.22222222222222,92,1973,16, Jongen, 5e middelbaar,7,5,4, Ja, Ja, Ja
11,1976,3.0,5.0,4.666666666666667,12.666666666666668,5.0,4,3,21.666666666666668,13.222222222222221,95,1976,17, Meisje, 6e middelbaar,6,5,4, Nee, Ja, Ja
12,1887,5.8,6.0,6.0,17.8,6.0,6,6,29.8,17.933333333333334,14,1887,16, Meisje, 4e middelbaar,5,2,3, Nee, Ja, Ja
13,1896,6.0,6.0,6.0,18.0,5.5,5,5,28.5,16.5,24,1896,16, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
14,1911,5.2,5.0,5.333333333333333,15.533333333333331,6.0,2,6,23.53333333333333,13.177777777777777,40,1911,15, Jongen, 4e middelbaar,5,5,3, Nee, Ja, Ja
15,1914,6.0,6.0,6.0,18.0,6.0,3,6,27.0,15.0,43,1914,15, Meisje, 4e middelbaar,5,5,4, Nee, Ja, Ja
16,1939,5.2,6.333333333333333,6.0,17.53333333333333,5.0,5,6,27.53333333333333,15.844444444444445,63,1939,15, Jongen, 4e middelbaar,3,3,4, Nee, Ja, Ja
17,1938,3.8,5.333333333333333,3.6666666666666665,12.799999999999999,4.5,5,3,22.299999999999997,13.766666666666666,65,1938,17, Jongen, 6e middelbaar,8,5,3, Nee, Ja, Ja
18,1947,6.0,7.0,7.0,20.0,6.0,3,7,29.0,15.666666666666668,69,1947,13, Jongen, 3e middelbaar,4,4,4, Ja, Ja, Ja
19,1956,4.0,4.666666666666667,5.333333333333333,14.0,6.0,6,6,26.0,16.666666666666668,77,1956,16, Meisje, 3e middelbaar,4,3,4, Nee, Nee, Ja
20,1958,4.0,4.0,4.0,12.0,4.0,4,4,20.0,12.0,79,1958,15, Meisje, 3e middelbaar,4,3,3, Ja, Ja, Ja
21,1962,4.8,6.0,5.333333333333333,16.133333333333333,6.0,5,4,27.133333333333333,16.377777777777776,81,1962,15, Meisje, 4e middelbaar,4,3,4, Ja, Ja, Ja
22,1968,6.2,5.0,6.333333333333333,17.53333333333333,5.5,3,6,26.03333333333333,14.344444444444445,86,1968,16, Meisje, 5e middelbaar,6,3,3, Ja, Ja, Ja
23,1971,3.6,4.333333333333333,3.6666666666666665,11.6,2.5,4,2,18.1,10.366666666666667,90,1971,18, Jongen, 6e middelbaar,2,4,4, Nee, Ja, Ja
24,1888,5.2,5.0,5.333333333333333,15.533333333333331,5.0,3,5,23.53333333333333,13.177777777777777,15,1888,15, Meisje, 4e middelbaar,5,4,4, Nee, Nee, Ja
25,1889,5.4,6.0,6.0,17.4,5.0,4,6,26.4,14.8,16,1889,16, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
26,1893,5.6,6.333333333333333,6.333333333333333,18.266666666666666,5.0,3,7,26.266666666666666,14.088888888888889,20,1893,15, Jongen, 4e middelbaar,5,3,4, Ja, Ja, Ja
27,1899,4.4,6.0,6.0,16.4,5.5,2,5,23.9,12.966666666666665,27,1899,15, Jongen, 4e middelbaar,5,3,4, Nee, Nee, Ja
28,1892,3.8,4.333333333333333,6.0,14.133333333333333,4.0,2,3,20.133333333333333,10.711111111111112,19,1892,15, Meisje, 4e middelbaar,5,4,4, Ja, Ja, Ja
29,1921,4.6,5.666666666666667,4.333333333333333,14.599999999999998,5.0,4,3,23.599999999999998,13.866666666666667,50,1921,16, Jongen, 5e middelbaar,2,3,5, Nee, Ja, Ja
30,1941,6.0,5.0,6.666666666666667,17.666666666666668,6.0,4,6,27.666666666666668,15.88888888888889,64,1941,17, Jongen, 6e middelbaar,6,3,4, Ja, Nee, Ja
31,1944,5.4,5.333333333333333,5.666666666666667,16.400000000000002,6.0,3,6,25.400000000000002,14.466666666666669,67,1944,17, Meisje, 6e middelbaar,6,5,2, Nee, Ja, Ja
32,1948,3.4,4.666666666666667,5.0,13.066666666666666,4.0,6,3,23.066666666666666,14.355555555555554,70,1948,18, Jongen, 6e middelbaar,8,4,4, Nee, Ja, Ja
33,1949,5.8,5.333333333333333,6.333333333333333,17.466666666666665,5.5,3,6,25.966666666666665,14.322222222222223,71,1949,17, Meisje, 5e middelbaar,8,4,3, Ja, Nee, Ja
34,1950,5.8,6.333333333333333,6.666666666666667,18.8,6.5,2,6,27.3,14.766666666666666,72,1950,16, Meisje, 4e middelbaar,4,3,3, Ja, Ja, Ja
35,1967,5.0,5.0,6.333333333333333,16.333333333333332,4.0,5,6,25.333333333333332,14.444444444444443,84,1967,17, Meisje, 5e middelbaar,3,3,4, Ja, Ja, Ja
36,1969,6.6,6.0,6.666666666666667,19.266666666666666,7.0,3,7,29.266666666666666,16.42222222222222,87,1969,15, Meisje, 5e middelbaar,7,3,4, Ja, Ja, Ja
