Grade,RG
11th grade,REAL
9th grade,PLACEBO
10th grade,NONE
12th grade,NONE
12th grade,NONE
12th grade,NONE
12th grade,PLACEBO
12th grade,PLACEBO
12th grade,REAL
12th grade,REAL
12th grade,REAL
11th grade,NONE
11th grade,NONE
11th grade,NONE
11th grade,NONE
11th grade,PLACEBO
11th grade,REAL
11th grade,REAL
10th grade,NONE
10th grade,NONE
10th grade,NONE
10th grade,NONE
10th grade,NONE
10th grade,PLACEBO
10th grade,PLACEBO
10th grade,PLACEBO
10th grade,PLACEBO
10th grade,PLACEBO
10th grade,PLACEBO
10th grade,REAL
10th grade,REAL
10th grade,REAL
10th grade,REAL
10th grade,REAL
10th grade,REAL
9th grade,PLACEBO
9th grade,PLACEBO